,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other
39,Acer palmatum,Japanese Maple,Tree,8.0,6-8,S,LMH,SN,M,2,0,1.0
40,Acer saccharinum,"Silver Maple, River Maple, Soft Maple",Tree,30.0,3-9,F,LMH,SN,M,3,1,4.0
41,Acer saccharum,"Sugar Maple, Florida Maple, Hard Maple, Rock Maple",Tree,30.0,4-8,S,LMH,SN,M,4,2,4.0
42,Acer saccharum grandidentatum,"Big-Tooth Maple, Canyon Maple, Rocky Mountain Sugar Maple",Tree,12.0,5-8,,LMH,SN,M,4,0,3.0
43,Acer saccharum nigrum,Black Maple,Tree,25.0,4-6,S,LMH,SN,M,4,1,2.0
44,Acer sterculiaceum,,Tree,6.0,7-10,,LMH,SN,M,0,0,2.0
45,Acer ukurunduense caudatum,,Tree,20.0,-,S,LMH,SN,M,1,0,3.0
46,Achillea ageratum,"Mace, Sweet-nancy",Perennial,0.6,6-9,,LMH,N,DM,2,0,
47,Achillea erba-rotta moschata,Musk Milfoil,Perennial,0.2,5-9,,LMH,N,DM,0,2,
48,Achillea millefolium,"Yarrow, Boreal yarrow, California yarrow, Giant yarrow, Coast yarrow, Western yarrow, Pacific yarrow",Perennial,0.6,4-8,F,LMH,SN,DM,3,4,4.0
49,Achillea sibirica,Siberian Yarrow,Perennial,0.5,5-9,,LMH,N,DM,1,1,
50,Acinos alpinus,Alpine Calamint,Perennial,0.5,4-8,,LMH,N,DM,1,1,
51,Acinos arvensis,Basil Thyme,Annual/Perennial,0.2,4-8,,LM,N,DM,2,1,3.0
52,Acinos rotundifolius,,Annual/Perennial,0.3,4-8,,LMH,N,DM,1,1,
53,Acmella oleracea,"Toothache plant, Paracress",Perennial,0.4,9-11,F,LMH,N,M,3,3,2.0
54,Aconitum carmichaelii,"Japanese Aconite, Carmichael's monkshood",Perennial,1.5,3-7,,LMH,SN,M,0,2,
55,Aconitum japonicum,,Perennial,1.0,4-8,,LMH,SN,M,0,2,
56,Aconitum koreanum,Korean Monk's Hood,Perennial,1.5,-,,LMH,SN,M,1,0,
57,Aconitum lycoctonum vulparia,Wolfbane,Perennial,1.0,3-7,,LMH,SN,M,1,1,
58,Aconitum napellus,"Aconite, Venus' chariot, Wolfsbane Garden, Monk's Hood Garden",Perennial,1.5,3-8,,LMH,SN,M,1,2,
59,Aconitum septentrionale,,Perennial,0.0,-,,LMH,SN,M,1,0,
60,Acrocarpus fraxinifolius,"Pink Cedar, Shingle Tree",Tree,30.0,10-12,F,M,N,M,0,0,4.0
61,Acrocomia aculeata,"Coyoli Palm. Gru-Gru Palm, Macaw palm",Tree,15.0,10-12,F,LMH,N,DM,3,1,2.0
62,Actaea pachypoda,White Baneberry,Perennial,0.8,3-7,,LMH,S,M,0,2,
63,Actaea rubra,Red Baneberry,Perennial,0.5,3-7,,LMH,FS,M,0,2,
64,Actinidia arguta,Tara Vine,Climber,15.0,4-8,,LMH,SN,M,5,0,2.0
65,Actinidia arguta cordifolia,,Climber,7.0,-,,LMH,SN,M,4,0,
66,Actinidia arguta rufa,,Climber,7.0,-,,LMH,SN,M,4,0,
67,Actinidia arisanensis,,Climber,5.0,-,,LMH,SN,M,3,0,
68,Actinidia callosa formosana,,Climber,7.0,-,,LMH,SN,M,3,0,
69,Actinidia callosa henryi,,Climber,7.0,7-10,,LMH,SN,M,3,0,
70,Actinidia callosa indochinensis,,Climber,7.0,-,,LMH,SN,M,3,0,
71,Actinidia callosa pubescens,,Climber,7.0,-,,LMH,SN,M,3,0,
72,Actinidia coriacea,,Climber,8.0,5-9,,LMH,SN,M,3,0,
73,Actinidia deliciosa,Kiwi Fruit,Climber,9.0,6-9,M,LMH,SN,M,5,1,1.0
74,Actinidia eriantha,,Climber,10.0,-,,LMH,SN,M,3,0,
75,Actinidia fortunatii,,Climber,10.0,-,,LMH,SN,M,3,0,
76,Actinidia giraldii,,Climber,10.0,-,,LMH,SN,M,3,0,
77,Actinidia hemsleyana,,Climber,9.0,-,,LMH,SN,M,3,0,
78,Actinidia hypoleuca,,Climber,5.0,-,,LMH,SN,M,3,0,
79,Actinidia kolomikta gagnepainii,,Climber,7.0,-,,LMH,SN,M,3,0,
80,Actinidia latifolia,,Climber,7.0,-,,LMH,SN,M,3,0,
81,Actinidia melanandra,Red Kiwi,Climber,7.0,5-9,,LMH,SN,M,4,0,
82,Actinidia pilosula,,Climber,7.0,-,,LMH,SN,M,3,0,
83,Actinidia polygama,Silver Vine,Climber,6.0,4-8,,LMH,SN,M,4,2,
84,Actinidia polygama lecomtei,,Climber,5.0,-,,LMH,SN,M,3,0,
85,Actinidia purpurea,Purple hardy kiwi,Climber,10.0,5-9,,LMH,SN,M,4,0,1.0
86,Actinidia sabiifolia,,Climber,5.0,-,,LMH,SN,M,3,0,
87,Actinidia tetramera,,Climber,13.5,-,,LMH,SN,M,3,0,
88,Actinidia trichogyna,,Climber,7.0,-,,LMH,SN,M,3,0,
89,Actinidia venosa,,Climber,9.0,-,,LMH,SN,M,3,0,
90,Adansonia digitata,"Baobab, Judas Fruit, Monkey Bread Tree",Tree,20.0,10-12,S,LMH,N,DM,3,3,4.0
91,Adenanthera pavonina,"Red Sandalwood, Coral Tree",Tree,18.0,10-12,F,LMH,N,M,3,2,4.0
92,Adenophora denticulata,,Perennial,0.5,6-9,,LM,N,M,2,0,
93,Adenophora divaricata,,Perennial,1.0,-,,LM,N,M,2,0,
94,Adenophora latifolia,,Perennial,0.5,-,,LM,N,M,2,0,
95,Adenophora liliifolia,"Ladybells, Lilyleaf",Perennial,0.5,3-8,M,LM,N,M,2,0,
96,Adenophora nikoensis,,Perennial,0.3,5-9,,LM,N,M,2,0,
97,Adenophora remotiflora,,Perennial,1.0,5-9,,LM,N,M,2,1,
98,Adenophora verticillata,,Perennial,1.0,6-9,,LM,SN,M,2,2,
99,Aechmea magdalenae,"Pingwing. Ixtle, Pita plant",Perennial,2.5,10-12,S,LMH,FS,M,3,0,3.0
100,Aesculus flava,"Sweet Buckeye, Yellow buckeye",Tree,20.0,4-8,M,LMH,SN,M,4,0,3.0
101,Aesculus hippocastanum,"Horse Chestnut, European Horsechestnut, Common Horsechestnut",Tree,30.0,4-7,F,LMH,SN,DM,3,4,3.0
102,Aesculus parviflora,Bottlebrush buckeye,Shrub,4.0,4-9,S,LMH,FSN,M,2,1,3.0
103,Aesculus turbinata,Japanese Horse Chestnut,Tree,20.0,5-7,M,LMH,SN,M,2,0,3.0
104,Afraegle paniculata,Nigerian Powder-Flask Fruit. African afraegle,Tree,12.0,10-12,F,LM,N,DM,2,3,2.0
105,Afzelia africana,African Mahogany,Tree,8.0,10-12,M,LMH,N,MWe,2,2,4.0
106,Afzelia xylocarpa,"Makha Tree, Cambodia Beng Tree",Tree,20.0,10-12,M,LMH,N,M,2,2,4.0
107,Agapanthus africanus,"African Lily, Lily of the nile",Bulb,1.0,9-10,M,LM,SN,M,0,1,
108,Agapanthus campanulatus,,Bulb,0.6,6-9,,LM,SN,M,0,1,
109,Agapanthus praecox minimus,,Bulb,0.9,8-11,,LM,SN,M,1,1,
110,Agastache foeniculum,"Anise Hyssop, Blue giant hyssop",Perennial,0.9,4-9,,LM,N,DM,5,1,3.0
111,Agastache neomexicana,"New Mexico Giant Hyssop, Bill Williams Mountain giant hyssop",Perennial,1.2,7-10,,LM,N,DM,3,1,2.0
112,Agastache urticifolia,"Giant Hyssop, Nettleleaf giant hyssop",Perennial,1.2,7-10,,LM,N,DM,3,1,
113,Agathis dammara,Amboina Pine,Tree,50.0,10-11,M,LMH,FSN,M,0,0,4.0
114,Agathis macrophylla,Dakua,Tree,30.0,10-12,F,LMH,FSN,M,0,0,4.0
115,Agathis moorei,"Pacific Kauri, Moore Kauri",Tree,25.0,10-12,M,LMH,FSN,M,1,0,4.0
116,Agave americana,"Agave, American century plant",Perennial,7.5,8-11,S,LM,N,DM,3,3,3.0
117,Agave cantala agave,Agave,Perennial,2.0,9-12,F,LMH,N,DM,2,0,4.0
118,Agave chrysantha,Golden-flowered Agave,Perennial,1.0,9-11,M,LMH,N,DM,2,1,2.0
119,Agave deserti,Desert Agave,Perennial,0.4,9-11,M,LMH,N,DM,3,0,3.0
120,Agave fourcroydes,Henequen,Perennial,1.8,10-12,M,LMH,N,DM,0,1,3.0
121,Agave lechuguilla,"Ixtle, Chihuahua",Perennial,0.6,10-12,M,LMH,N,DM,1,2,4.0
122,Agave salmiana,"Pulque Agave, Giant Agave",Perennial,2.0,9-11,M,LMH,N,DM,3,0,2.0
123,Agave sisalana,Sisal,Perennial,2.0,9-11,F,LMH,SN,DM,2,2,4.0
124,Agave tequilana,"Blue Agave, Mescal, Tequila.",Perennial,2.0,10-12,M,LMH,N,D,4,0,3.0
125,Agave vivipara,Mescal Casero,Perennial,1.0,10-12,M,LMH,N,DM,3,0,3.0
126,Ageratum houstonianum,"Ageratum, Bluemink, Floss Flower, Garden",Annual,0.3,0-0,M,LMH,N,DM,0,1,
127,Agoseris glauca,"Mountain Dandelion, Pale agoseris, False agoseris",Perennial,0.6,0-0,,Lm,N,DM,1,1,1.0
128,Agrimonia eupatoria,"Agrimony, Churchsteeples",Perennial,0.6,0-0,,LMH,SN,DM,2,3,1.0
129,Agrimonia pilosa,Hairy Agrimony,Perennial,0.6,-,,LMH,SN,DM,2,3,
130,Agrostis capillaris,Browntop Bent Grass,Perennial,0.4,3-10,F,LM,SN,WeM,0,0,4.0
131,Ailanthus altissima,Tree Of Heaven,Tree,25.0,5-8,F,LM,SN,DMWe,1,3,5.0
132,Ajuga australis,Australian Bugle,Perennial,0.2,5-9,,LMH,N,DM,0,1,3.0
133,Akebia quinata,"Akebia, Chocolate vine, Fiveleaf Akebia, Chocolate Vine",Climber,12.0,4-9,F,LMH,FSN,M,4,2,3.0
134,Akebia trifoliata,"Akebia, Threeleaf Akebia",Climber,9.0,5-8,F,LMH,FSN,M,4,2,2.0
135,Alangium chinense,,Tree,8.0,8-11,S,LMH,N,M,0,3,2.0
136,Alangium platanifolium,Alangium,Shrub,3.0,6-10,,LMH,N,M,1,1,1.0
137,Albizia julibrissin,"Mimosa, Silktree, Mimosa Tree,",Tree,12.0,6-9,F,LMH,N,DM,2,2,2.0
138,Albizia lebbeck,"Siris Tree, Woman's Tongue, East Indian Walnut",Tree,15.0,10-11,F,LMH,N,M,1,2,4.0
139,Albizia lucidior,Potka siris tree,Tree,15.0,10-12,F,LMH,SN,M,0,0,3.0
140,Albizia procera,"White Siris, Tall Albizia, Forest Siris",Tree,25.0,10-12,F,LMH,N,M,1,2,4.0
141,Alcea rosea,Hollyhock,Perennial,2.4,5-9,F,LMH,N,DM,3,2,3.0
142,Alchemilla alpina,"Alpine Lady's Mantle, Mountain Lady's Mantle",Perennial,0.2,3-7,M,LMH,SN,DM,2,3,
143,Alchemilla mollis,Lady's-mantle,Perennial,0.6,3-8,M,LMH,FSN,M,0,0,3.0
144,Alchornea castaneifolia,Iporuru,Tree,8.0,10-12,F,LMH,SN,MWe,0,4,2.0
145,Alchornea cordifolia,Christmas Bush,Shrub,8.0,10-12,M,LMH,N,DMWe,2,4,3.0
146,Aletris farinosa,"Unicorn Root - Colic Root, White colicroot",Perennial,0.6,6-9,,LM,N,M,1,3,
147,Aletris spicata,,Perennial,0.3,-,,LM,N,M,1,1,
148,Aleurites moluccanus,"Candle Nut, Country Walnut",Tree,20.0,10-12,F,LMH,N,DM,3,3,4.0
149,Alhagi mannifera,Manna Tree,Shrub,1.0,-,,LM,N,DM,2,2,
150,Alhagi maurorum,Camel Thorn,Shrub,2.0,6-10,,LM,N,DM,2,2,0.0
151,Alisma canaliculatum,,Perennial,0.8,5-9,,LMH,N,WeWa,1,0,
152,Alisma plantago-aquatica,"Great Water Plantain, ZE-XIE, European water plantain, American water plantain, Northern water plan",Perennial,0.9,5-9,,LMH,N,WeWa,1,3,
153,Alkanna tinctoria,"Alkanet, Alkanna",Perennial,0.2,0-0,,LM,SN,DM,1,2,2.0
154,Allanblackia floribunda,Vegetable Tallow. Tallow tree,Tree,25.0,10-12,F,LMH,SN,M,3,2,2.0
155,Allanblackia stuhlmannii,"Mkani, Msambo",Tree,35.0,10-12,M,MH,N,M,3,2,3.0
156,Alliaria petiolata,Garlic Mustard,Biennial,1.0,5-8,,LMH,FS,MWe,3,2,1.0
157,Allium akaka,,Bulb,0.2,7-10,,LM,N,DM,3,2,1.0
158,Allium ampeloprasum babingtonii,Babington's Leek,Bulb,1.8,0-0,,LMH,N,DM,3,3,2.0
159,Allium bisceptrum,"Aspen Onion, Twincrest onion",Bulb,0.3,7-10,,LM,N,M,3,2,1.0
160,Allium bolanderi,Bolander's Onion,Bulb,0.2,6-9,,LM,N,M,3,2,1.0
161,Allium carolinianum,,Bulb,0.4,-,,LM,N,DM,3,2,1.0
162,Allium cepa,"Onion, Garden onion",Bulb,0.6,4-10,,LM,N,M,5,3,3.0
163,Allium cepa ascalonicum,Shallot,Bulb,0.3,4-8,,LM,N,M,5,3,2.0
164,Allium chinense,Rakkyo,Bulb,0.3,6-9,,LM,N,M,4,2,1.0
165,Allium douglasii,Douglas' Onion,Bulb,0.3,0-0,,LM,N,DM,3,2,1.0
166,Allium drummondii,"Prairie Onion, Drummond's onion",Bulb,0.3,6-9,,LM,N,M,3,2,1.0
167,Allium geyeri tenerum,,Bulb,0.3,3-7,,LM,N,M,3,2,1.0
168,Allium ledebourianum,,Bulb,0.6,4-8,,LM,N,M,3,2,1.0
169,Allium macleanii,,Bulb,1.0,7-10,,LM,N,M,3,2,1.0
170,Allium macropetalum,Largeflower Wild Onion,Bulb,0.3,4-8,,LM,N,M,3,2,1.0
171,Allium mutabile,Wild Onion,Bulb,0.5,-,,LM,N,M,3,2,1.0
172,Allium platycaule,Broadstemmed Onion,Bulb,0.1,5-9,,LM,N,DM,3,2,1.0
173,Allium ramosum,Chinese Chives,Bulb,0.5,6-9,,LM,N,DM,4,2,1.0
174,Allium rubellum,,Bulb,0.6,-,,LM,N,DM,3,2,1.0
175,Allium sativum,"Garlic, Cultivated garlic",Bulb,0.6,7-10,,LM,N,DM,5,5,4.0
176,Allium schoenoprasum sibiricum,Giant Chives,Bulb,0.3,4-8,,LMH,SN,M,5,2,2.0
177,Allium scorodoprasum rotundum,,Bulb,0.5,6-9,,LMH,SN,M,4,2,1.0
178,Allium senescens,German Garlic,Bulb,0.5,4-10,M,LM,N,DM,4,2,1.0
179,Allium splendens,Miyama-Rakkyo,Bulb,0.3,4-8,,LM,N,M,3,2,1.0
180,Allium textile,Textile Onion,Bulb,0.2,5-9,,LM,N,DM,3,2,2.0
181,Allium unifolium,One-Leaved Onion,Bulb,0.6,7-10,,LM,N,DM,3,2,1.0
182,Allium victorialis,"Alpine Leek, Victory onion",Bulb,0.6,6-9,,LM,N,DM,4,2,1.0
183,Alnus acuminata,Alder,Tree,25.0,10-12,F,LMH,SN,M,0,2,3.0
184,Alnus cordata,Italian Alder,Tree,25.0,5-9,F,MH,SN,DMWe,0,0,4.0
185,Alnus glutinosa,"Alder, European alder , Common Alder, Black Alder",Tree,25.0,3-7,F,MH,SN,MWe,0,3,5.0
186,Alnus hirsuta,,Tree,18.0,3-7,,MH,SN,MWe,0,0,2.0
187,Alnus jorullensis,"Mexican alder, Evergreen Alder",Tree,25.0,7-12,F,LMH,SN,MWe,0,0,3.0
188,Alnus rubra,"Red Alder, Oregon Alder",Tree,20.0,6-8,F,MH,SN,MWe,2,2,4.0
189,Alnus rugosa,Speckled Alder,Tree,22.0,2-6,F,MH,SN,MWe,0,2,3.0
190,Alnus sinuata,Sitka Alder,Shrub,4.0,2-9,F,MH,SN,MWe,1,1,3.0
191,Alnus tenuifolia,"Mountain Alder, Thinleaf alder",Tree,9.0,5-7,F,MH,SN,MWe,1,2,3.0
192,Alnus viridis crispa,American Green Alder,Shrub,3.0,4-8,,MH,SN,MWe,1,2,3.0
193,Alocasia macrorrhizos,"Giant Taro, Giant Elephant Ear",Perennial,3.0,10-12,F,LMH,FSN,M,3,2,2.0
194,Aloe arborescens,"Candelabra Aloe, Tree Aloe, Mountain Bush Aloe",Shrub,3.0,10-11,M,LM,SN,DM,2,5,3.0
195,Aloe camperi,Aloe,Shrub,0.8,9-12,M,LM,SN,D,0,4,1.0
196,Aloe ferox,"Cape Aloe, Bitter Aloe, Red Aloe, Cape Aloe, Alligator Jaw Aloe",Shrub,3.0,9-11,S,LM,N,D,2,5,3.0
197,Aloe macrosiphon,Tanzanian Aloe,Perennial,0.5,9-11,S,LM,SN,D,0,4,1.0
198,Aloe vera,"Aloe Vera, Barbados aloe, First Aid Plant, Medicinal Aloe",Perennial,0.8,9-11,S,LM,N,DM,1,5,3.0
199,Alopecurus aequalis,"Shortawn Foxtail, Sonoma shortawn foxtail",Annual/Perennial,0.3,0-0,,LMH,SN,MWe,1,1,
200,Aloysia citriodora,"Lemon Verbena, Lemon beebrush",Shrub,3.0,7-10,M,LM,SN,DM,4,3,3.0
201,Alstroemeria aurea,Peruvian Lily,Perennial,1.0,7-10,M,LMH,SN,M,1,0,
202,Alstroemeria haemantha,Purple-spot parrot-lily,Perennial,0.9,8-11,,LM,SN,M,3,0,
203,Alstroemeria ligtu,"Alstroemeria, St. Martin's Flower",Perennial,0.6,8-10,M,LM,SN,DM,3,0,1.0
204,Althaea cannabina,Palm-leaf marshmallow,Perennial,1.8,4-8,,LMH,N,DM,0,0,1.0
205,Althaea officinalis,"Marsh Mallow, Common marshmallow",Perennial,1.2,3-7,,LMH,N,DM,5,5,3.0
206,Amaranthus blitum,"Slender Amaranth, Purple amaranth",Annual,1.0,4-8,,LMH,N,M,4,2,2.0
207,Amaranthus cruentus,"Purple Amaranth, Red amaranth",Annual,2.0,3-11,,LMH,N,M,4,2,2.0
208,Amaranthus hybridus,"Rough Pigweed, Slim amaranth",Annual,2.0,6-12,,LMH,N,M,4,1,1.0
209,Amaranthus hypochondriacus,"Prince's Feather, Prince-of-wales feather",Annual/Perennial,1.2,3-10,,LMH,N,M,4,3,2.0
210,Amaranthus mangostanus,,Annual,1.5,-,,LMH,N,M,2,0,1.0
211,Amaranthus quitensis,Ataco,Annual,1.0,-,,LMH,N,M,2,0,1.0
212,Amaranthus standleyanus,Indehiscent Pigweed,Annual,0.7,-,,LMH,N,M,2,0,1.0
213,Amaranthus tricolor,"Chinese Spinach, Joseph's-coat, Fountain Plant, Tampala , Summer Poinsettia",Annual,1.0,3-11,M,LMH,N,M,3,1,2.0
214,Amaranthus viridis,"Calalu, Slender amaranth",Annual,0.5,7-11,,LMH,N,M,3,2,1.0
215,Ambrosia artemesiifolia,"Roman Wormwood, Bitterweed, Blackweed, Carrot Weed, Hay Fever Weed, Stickeweed, Tassel Weed, Wild Ta",Annual,0.9,4-8,M,LMH,SN,M,2,3,1.0
216,Amelanchier alnifolia,"Saskatoon, Saskatoon serviceberry, Serviceberry",Shrub,4.0,4-6,M,LMH,SN,M,5,2,3.0
217,Amelanchier alnifolia cusickii,Cusick's Serviceberry,Shrub,3.0,0-0,,LMH,SN,M,4,1,0.0
218,Amelanchier alnifolia semiintegrifolia,Pacific Serviceberry,Shrub,3.0,0-0,S,LMH,SN,M,5,1,1.0
219,Amelanchier arborea,"Downy Serviceberry, Alabama serviceberry, Juneberry, Common Serviceberry, Downy Serviceberry",Tree,10.0,5-8,S,LMH,SN,M,3,1,2.0
220,Amelanchier asiatica,Korean Juneberry,Tree,8.0,4-8,,LMH,SN,M,3,0,
221,Amelanchier bartramiana,Oblongfruit serviceberry,Shrub,3.0,4-8,,LMH,SN,M,3,0,0.0
222,Amelanchier basalticola,Dwarf Service-berry,Shrub,3.0,4-8,,LMH,SN,M,4,0,0.0
223,Amelanchier canadensis,"Juneberry, Canadian serviceberry, Serviceberry Downy, Shadblow, Shadbush, Serviceberry",Shrub,6.0,4-7,M,LMH,SN,M,4,1,4.0
224,Amelanchier laevis,"Allegheny Shadberry, Allegheny serviceberry, Smooth Serviceberry",Shrub,9.0,5-8,M,LMH,SN,M,5,1,2.0
225,Amelanchier lamarckii,Apple Serviceberry,Shrub,6.0,3-3,,LMH,SN,M,5,0,0.0
226,Amelanchier ovalis,"Snowy Mespilus, Dwarf Garden Serviceberry",Shrub,5.0,5-7,S,LMH,N,M,2,0,
227,Amelanchier ovalis integrifolia,,Shrub,4.0,5-9,,LMH,SN,M,2,0,
228,Amelanchier pallida,Pale Serviceberry,Shrub,4.0,-,,LMH,SN,M,3,1,
229,Amelanchier spicata,,Shrub,2.0,4-8,,LMH,SN,M,3,0,
230,Amelanchier stolonifera,"Quebec Berry, Running serviceberry",Shrub,1.5,4-8,,LMH,SN,DM,5,1,0.0
231,Amelanchier utahensis,"Utah Serviceberry, Coville's serviceberry",Shrub,5.0,3-7,,LMH,SN,DM,3,1,2.0
232,Amelanchier x grandiflora,Apple Serviceberry,Shrub,6.0,4-7,S,LMH,SN,M,5,0,0.0
233,Ammi visnaga,"Visnaga. Khella. Bishop's Weed, Toothpickweed",Annual/Biennial,0.8,0-0,,LMH,SN,M,1,5,1.0
234,Ammophila arenaria,"Marram Grass, European beachgrass",Perennial,1.2,4-8,,LM,N,DM,1,0,4.0
235,Amomyrtus luma,"Luma, Chilean guava,",Shrub,7.5,0-0,,LMH,N,DM,3,0,0.0
236,Amorpha nana,"Dwarf Indigobush, Dwarf false indigo, Dwarf Indigo",Shrub,0.6,4-8,M,LM,SN,DM,0,1,2.0
237,Amorphophallus konjac,"Devil's Tongue, Devil's Tongue, Snake Plant, Konjac, Konnyaku Potato, Voodoo Lily",Perennial,1.3,6-11,F,LM,FS,M,4,2,2.0
238,Amorphophallus paeoniifolius,"Elephant Yam, Whitespot giant arum",Perennial,0.8,11-12,,LM,SN,M,4,2,2.0
239,Ampelodesmos mauritanicus,Mauritanian grass,Perennial,3.0,7-10,,LM,N,DM,0,0,
240,Ampelopsis brevipedunculata,"Porcelain Berry, Amur peppervine, Blueberry Climber, Porcelain Berry Vine",Climber,20.0,5-8,F,LMH,SN,M,2,2,1.0
241,Ampelopsis japonica,,Climber,10.0,6-9,,M,SN,M,0,2,
242,Amphicarpaea bracteata,"Hog Peanut, American hogpeanut",Perennial Climber,1.5,4-9,,LMH,FS,M,5,1,3.0
243,Amphicarpaea pitcheri,Hog Peanut,Perennial,1.5,-,,LMH,FS,M,5,0,
244,Amsinckia lycopsoides,Tarweed Fiddleneck,Annual,0.6,6-9,,LMH,N,DM,1,0,
245,Anacardium occidentale,"Cashew, Caju",Tree,12.0,9-12,S,LMH,N,M,5,3,3.0
246,Anacolosa frutescens,"Galo Nut, Kopi gunung, Tangki leuweung, Belian landak.",Tree,15.0,10-12,M,LMH,FS,M,4,0,2.0
247,Ananas comosus,Pineapple,Perennial,1.0,9-11,F,LMH,SN,M,5,2,4.0
248,Anaphalis margaritacea,"Pearly Everlasting, Western pearly everlasting",Perennial,0.9,3-7,,LM,SN,DM,1,2,1.0
249,Anchusa azurea,"Anchusa, Italian bugloss",Perennial,1.5,3-7,,LMH,N,M,2,1,1.0
250,Anchusa officinalis,"Alkanet, Common bugloss",Biennial/Perennial,0.6,4-8,,LMH,N,M,2,1,1.0
251,Ancylobotrys petersiana,"Mbohoya, Mwungo-wungo.",Climber,6.0,10-12,F,LMH,SN,DM,4,0,2.0
